computer
calculator
machine
analog computer
computing
personal computer
programmer
central processing unit
computer science
peripheral
hardware
mainframe
microprocessor
laptop
vacuum tube
machine code
computer program
server
computer programming
memory
integrated circuit
turing machine
charles babbage
abacus
electronics
astrolabe
cpu
information
home computer
computer hardware
internet
pc
slide rule
computation
supercomputer
transistor
turing-complete
floppy disk
imac
compiler
arithmetic
processor
john von neumann
keyboard
data
monitor
predictor
digital computer
digital communication
bit
data converter
diskette
control flow
james thomson
mechanical computer
number cruncher
visual display unit
computer circuit
chip
information age
expansion slot
input device
peripheral device
alpha test
beta test
antikythera mechanism
computer memory
figurer
estimator
automation
macintosh
reckoner
loom
minicomputer
microcomputer
electronic computer
information processing system
data processor
digital
boolean logic
ibm
bios
ibook
scratchpad
software
antivirus
cyber
wire
world war ii
desktop
techie
machines
digital data
embedded system
handheld
graphics
intel
files
desktop computer
washing machine
business
laptop computer
word processor
personal digital assistant
algorithm
operating system
tide-predicting machine
william thomson, 1st baron kelvin
differential analyser
vannevar bush
arithmetic logic unit
mouse
alan turing
smartphone
universal turing machine
von neumann architecture
instruction
printer
output
human
history
battery
binary numeral system
motherboard
turing complete
babylonia
telephone exchange
compute
crete
pda
storage
faceplate
plotter
outage
platform
floppy
console
microchip
compatible
crt
interconnection
format
site
website
readout
throughput
formatting
node
guest
client
incompatible
pass
actuary
adder
slot
host
up
expert
module
store
hipparchus
cybernetic
calendar
gear
news
isfahan
telnet
persia
vm
computers
computable
computational
computerology
sector
computerologist
computerist
computernik
noncomputer
nanocomputer
teletype
computerdom
puter
computeritis
precomputer
compy
anticomputer
neurocomputer
logarithm
login
hostmaster
function
machinima
computerlike
watchmaker
mac
computerism
neuchâtel
gnome
intranet
switzerland
computerbased
computercide
python
technology
softmodem
telecomputer
integral
telecommuter
cybersavvy
cybersystem
multinetworked
multinetwork
antikythera
cyberjunkie
transistors
kythera
screensaver
cybersociology
computerize
cyberterrorism
cyberintrusion
cybernetwork
cyberinteraction
planisphere
vdu
totalizer
totalizator
totaliser
c.p.u.
totalisator
busbar
subtracter
statistician
printout
read-out
polymath
electronic
cyberjargon
appender
cybertechnology
dioptra
misclick
devices
programmable
netzine
cyberpsychology
computing device
computing machine
downloader
applications
compunications
clickless
wardialer
uploader
pseudocode
cyberphilosophy
pessimize
systems
web
cybersuicide
mouseclick
fileserver
cyberfuture
planimeter
cybernate
cybergeneration
online
touchpad
pcs
users
tools
phones
logon
biocomputing
virtualize
microsoft
user
multimedia
networking
artificial intelligence
cyberimmortality
e6b
c++
device
tech
earom
tool
incrementor
scancode
hackathon
mit
uninstall
mobile
ambimoustrous
automata
computerized
memex
sneakernet
phone
mathematician
zodiac
cyberdating
uses
using
google
tom kilburn
system
dork
database
micro
extranet
meatware
portable
technologies
equipment
sophisticated
interactive
pointer
embedded
audio
wireless
metaprogramming
teleprocessing
programmers
servers
virtual
graphician
door
smart
transputer
video
labs
available
makers
application
random-access memory
wired
drives
networks
hour
boolean algebra
automated
tracking
developed
product
sysadmin
generation
use
instance
communications
videoterminal
disk
search
rootkit
robot
teleinstruction
submarine
enabled
computerphone
camera
multitask
gadgets
network
integrated
cellular
operating
workstations
lever
processing
interface
lab
components
advanced
laptops
proprietary
screen
z2
day
university of manchester
z3
conditional
electromechanical
mobile device
mobile computing
relay
cultural icon
word
hertz
digital audio player
celluloid
fighter aircraft
wave clip
analog signal
industrial robot
organize information
access internet
one-to-one correspondence
traffic light
finger counting
in observatory
tally stick
engineering
fertile crescent
counting rods
chiclet keyboard
dumb terminal
london
roman abacus
computer aid design
at internet cafe
graphic card
counting house
user interface
surf internet
process information
derek j. de solla price
escape key
antikythera wreck
enigma
word process
bombe
memory chip
stream video
central process unit
silicon chip
internet site
micro chip
data structure
computer accessory
disk cache
computer storage
data formatting
back up
analogue computer
data format
computer peripheral
cathode-ray tube
microprocessor chip
pari-mutuel machine
monitoring device
memory board
web site
central processor
data communication
electronic device
star chart
computer mouse
hellenistic civilization
peripheral brain
web server
touch screen
spherical astronomy
eniac
von neumann machine
download manager
virtual reality
killer poke
two finger type
code monkey
configuration section
tv tuner
ab? rayh?n al-b?r?n?
lunisolar calendar
video card
in your room
computer system
gear train
machine readable
command line interpreter
programming language
transcendental function
spread information
information superhighway
pierre jaquet-droz
data process
database management system
testbed
do work
java
desktop picture
window key
cursor key
computer graphic
log in
ferranti
concept
utility program
differential equations
amsterdam
control computer
ball-and-disk integrator
job
write email
data path
machine translation
torque amplifier
add number
e transaction
boot storm
computer pioneer
quiche eater
p 2
technical support
difference engine
third screen
main memory
background process
analytical engine
process data
punched card
harwell
jacquard loom
conditional branching
british government
hero of alexandria
astronomical clock
silicon
germanium
television
telephone
differential analyzer
edsac
control systems
edvac
hacker
univac
carrel
webcam
spreadsheet
disks
lenovo
typewriter
keyboards
notebook
typing
hacking
databases
ipod
bot
modem
powerbook
cellphone
router
projector
compter
thinkpad
browser
whiteboard
pornography
kurt gödel
lunar phase
flops
halting problem
decision problem
execution
theory of computation
branch
subroutine
united states navy
computer data storage
torpedo data computer
konrad zuse
mnemonic
ada lovelace
clock frequency
assembler
interpreter
floating point number
middle ages
pentium
binary
electronic circuit
hard disk
tommy flowers
post office research station
symbol
joseph marie jacquard
keystroke
workstation
somniloquy
keypunch
symbolics
copiers
undelete
wetware
photocopier
wordprocessing
repairperson
keystrokes
whiteboards
cryptology
spooler
passwords
videodiscs
recode
disassembler
micrographics
gadget
flashcard
electroencephalograph
initialise
recognizer
printouts
punchcard
codebreaking
punch card
atanasoff–berry computer
bletchley park
hang
cpu cache
crash
lorenz sz 40/42
exploit
max newman
computer monitor
colossus computer
herman hollerith
digital electronics
stored program
rocket ship
opcode
john mauchly
j. presper eckert
ram
instruction set
national physical laboratory
microcode
university of pennsylvania
first draft of a report on the edvac
stored-program computer
victoria university of manchester
trigonometry
frederic calland williams
great britain
integer
geoff tootill
williams tube
manchester mark 1
ferranti mark 1
communication
negation
royal dutch shell
j. lyons and co.
leo computer
simd
science
matrix
poison
netbook
landfill
ethernet
